symbol_nyse,symbol_yahoo,Security Name,Exchange,ETF
AGM$D,AGM-D,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",N,N
AGM$E,AGM-E,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",N,N
AGM$F,AGM-F,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",N,N
AGM$G,AGM-G,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",N,N
AGM$H,AGM-H,"Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock, Series H",N,N
AHL$D,AHL-D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,N,N
AHL$E,AHL-E,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares",N,N
AHL$F,AHL-F,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1,000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share",N,N
AHRT$A,AHRT-A,"AH Realty Trust, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock",N,N
AHT$D,AHT-D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,N,N
AHT$F,AHT-F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,N,N
AHT$G,AHT-G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,N,N
AHT$H,AHT-H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,N,N
AHT$I,AHT-I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,N,N
AIIA.R,AIIA-R,"AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one-fifth (1/5) of one Class A Ordinary Share",N,N
CDR$B,CDR-B,"Cedar Realty Trust, Inc. 7.25% Series B Cumulative Redeemable Preferred Stock",N,N
CDR$C,CDR-C,"Cedar Realty Trust, Inc. 6.50% Series C Cumulative Redeemable Preferred Stock",N,N
CELG.R,CELG-R,Bristol-Myers Squibb Company Celegne Contingent Value Rights,N,N
CFG$E,CFG-E,"Citizens Financial Group, Inc. Depositary Shares Each Representing 1/40th Interest in a Share of 5.000% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series E",N,N
CFG$H,CFG-H,"Citizens Financial Group, Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.375% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series H",N,N
CFG$I,CFG-I,"Citizens Financial Group, Inc. Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.500% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series I",N,N
CFR$B,CFR-B,"Cullen/Frost Bankers, Inc. Depositary Shares, each representing a 1/40th ownership interest in a share of 4.450% non-cumulative perpetual preferred stock, Series B",N,N
CHMI$A,CHMI-A,Cherry Hill Mortgage Investment Corporation 8.20% Series A Cumulative Redeemable Preferred Stock,N,N
CHMI$B,CHMI-B,Cherry Hill Mortgage Investment Corporation 8.250% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,N,N
DLNG$A,DLNG-A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,N,N
DLR$J,DLR-J,"Digital Realty Trust, Inc. 5.250% Series J Cumulative Redeemable Preferred Stock",N,N
DLR$K,DLR-K,"Digital Realty Trust, Inc. 5.850% Series K Cumulative Redeemable Preferred Stock, par value $0.01 per share",N,N
DLR$L,DLR-L,"Digital Realty Trust, Inc. 5.200% Series L Cumulative Redeemable Preferred Stock",N,N
DSX$B,DSX-B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),N,N
NCV$A,NCV-A,Virtus Convertible & Income Fund 5.625% Series A Cumulative Preferred Shares,N,N
NCZ$A,NCZ-A,Virtus Convertible & Income Fund II 5.50% Series A Cumulative Preferred Shares,N,N
NE.A,NE-A,Noble Corporation plc Tranche 2 Warrants,N,N
NEE$N,NEE-N,"NextEra Energy, Inc. Series N Junior Subordinated Debentures due March 1, 2079",N,N
NEE$S,NEE-S,"NextEra Energy, Inc. 7.299% Corporate Units",N,N
NEE$T,NEE-T,"NextEra Energy, Inc. 7.234% Corporate Units",N,N
NEE$U,NEE-UN,"NextEra Energy, Inc. Series U Junior Subordinated Debentures due June 1, 2085",N,N
NEE$V,NEE-V,"NextEra Energy, Inc. 7.375% Corporate Units",N,N
NGL$B,NGL-B,NGL ENERGY PARTNERS LP 9.00% Class B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units representing limited partnership interests,N,N
PEB$E,PEB-E,Pebblebrook Hotel Trust 6.375% Series E Cumulative Redeemable Preferred Shares of Beneficial Interest,N,N
PEB$F,PEB-F,Pebblebrook Hotel Trust 6.3% Series F Cumulative Redeemable Preferred Shares of Beneficial Interest,N,N
PEB$G,PEB-G,Pebblebrook Hotel Trust 6.375% Series G Cumulative Redeemable Preferred Shares of Beneficial Interest,N,N
PEB$H,PEB-H,Pebblebrook Hotel Trust 5.700% Series H Cumulative Redeemable Preferred Shares of Beneficial Interest,N,N
PINE$A,PINE-A,"Alpine Income Property Trust, Inc. 8.00% Series A Cumulative Redeemable Preferred Stock",N,N
TRTN$A,TRTN-A,Triton International Limited 8.50% Series A Cumulative Redeemable Perpetual  Preference Shares,N,N
TRTN$B,TRTN-B,Triton International Limited 8.00% Series B Cumulative Redeemable Perpetual Preference Shares,N,N
TRTN$C,TRTN-C,Triton International Limited 7.375% Series C Cumulative Redeemable Perpetual Preference Shares,N,N
TRTN$D,TRTN-D,Triton International Limited 6.875% Series D Cumulative Redeemable Perpetual Preference Shares,N,N
TRTN$E,TRTN-E,Triton International Limited 5.75% Series E Cumulative Redeemable Perpetual Preference Shares,N,N
TRTN$F,TRTN-F,Triton International Limited 7.625% Series F Cumulative Redeemable Perpetual Preference Shares,N,N
TRTN$G,TRTN-G,Triton International Limited 7.500% Series G Cumulative Redeemable Perpetual Preference Shares,N,N
TRTX$C,TRTX-C,"TPG RE Finance Trust, Inc. 6.25% Series C Cumulative Redeemable Preferred Stock, $0.001 par value per share",N,N
TSI.R,TSI-R,"TCW Strategic Income Fund, Inc. Rights (expiring March 18, 2026) Rights",N,N
TSLX,TSLX,"Sixth Street Specialty Lending, Inc. Common Stock",N,N
